iter	RMSE
399	822473.6535
400	818285.0201
401	812332.687
402	808197.4203
403	802330.77
404	798248.0943
405	794194.6649
406	790170.2017
407	786174.5629
408	782207.4719
409	778268.7913
410	772594.6615
411	766980.8993
412	763113.2139
413	759273.814
414	753761.2925
415	749967.0793
416	746202.644
417	742462.3128
418	738749.3028
419	733457.2172
420	729791.6213
421	726152.4852
422	720869.0738
423	717275.8491
424	713706.4857
425	710164.1953
426	704994.2732
427	701494.2602
428	698019.7598
429	692942.1633
430	689511.0924
431	686103.9986
432	682721.4631
433	677824.2475
434	674483.672
435	671167.4365
436	666356.863
437	663081.4083
438	659829.7863
439	655023.5195
440	651811.6529
441	648623.1443
442	643977.896
443	640828.1967
444	637701.3838
445	634596.599
446	629969.4509
447	626903.4808
448	623857.9552
449	619212.5352
450	616205.7875
451	613219.0527
452	608753.5941
453	605804.6508
454	602877.1113
455	598304.7669
456	595409.9426
457	592536.098
458	589683.0955
459	585296.6791
460	582478.7428
461	579680.6586
462	575520.8175
463	572757.5623
464	570013.509
465	565773.8206
466	563063.6584
467	560372.3138
468	556352.9398
469	553695.2548
470	551055.7602
471	547050.8544
472	544444.1193
473	541855.2033
474	539285.0174
475	535364.0206
476	532824.5456
477	528779.0395
478	526270.5251
479	523778.841
480	521305.1639
481	517564.315
482	515120.5972
483	512694.6195
484	508796.2561
485	506398.4777
486	502771.476
487	500403.6508
488	498052.1133
489	495716.6355
490	493395.6034
491	489815.4495
492	487522.928
493	485246.1608
494	481555.6988
495	479306.4842
496	477072.4987
497	474941.0212
498	471329.7167
499	469133.5134
500	467038.6397
501	463688.0447
502	461617.3858
503	459561.1359
504	456226.6004
505	454193.2591
506	452173.5695
507	450166.0318
508	446931.8354
509	444947.513
510	442977.0015
511	439754.8161
512	437806.2733
513	435781.2436
514	433856.2424
515	430537.8687
516	428634.0443
517	425553.9327
518	423672.1465
519	421803.4609
520	418734.8259
521	416886.9958
522	415052.0318
523	412066.9702
524	410253.266
525	408362.943
526	406571.1494
527	403675.3623
528	401903.803
529	400058.075
530	397210.0972
531	395469.4405
532	392626.5712
533	390906.1024
534	389197.6231
535	386399.8223
536	384711.1697
537	383033.2263
538	381366.1069
539	378580.7385
540	376932.2804
541	375295.1319
542	373580.9712
543	370851.5911
544	369241.1225
545	367641.8993
546	364993.8658
547	363413.2481
548	361843.4356
549	360283.0286
550	357644.8101
551	356101.9145
552	354484.1942
553	351889.9171
554	350373.7753
555	348867.9325
556	347371.2105
557	344864.3752
558	343385.1222
559	341832.0657
560	339326.6211
561	337873.0425
562	335438.2721
563	334001.6697
564	332575.1353
565	330138.7654
566	328728.2968
567	327327.0734
568	325934.7403
569	323583.6769
570	322207.6484
571	320758.4261
572	319399.1061
573	317053.8792
574	315709.91
575	314375.3969
576	312067.0963
577	310747.6705
578	308506.9613
579	307124.0161
580	305828.1287
581	303624.3411
582	302343.6858
583	301071.4836
584	299807.3932
585	297604.7425
586	296354.9837
587	295035.0394
588	293800.5167
589	291641.7575
590	290421.2517
591	288328.8417
592	287122.736
593	285925.1612
594	283825.9477
595	282641.9916
596	281389.7367
597	280220.2543
598	278200.8946
599	277045.2571
600	275012.629
601	273870.1589
602	272661.5266
603	270700.5064
604	269578.5572
605	268464.5734
606	266494.9486
607	265393.6932
608	263487.8755
609	262399.7022
610	261319.1544
611	260172.2959
612	257950.5168
613	256888.0415
614	255833.129
615	253649.7217
616	252536.9099
617	251500.3949
618	249744.1423
619	248719.1901
620	246898.0578
621	245884.8853
622	244878.8017
623	243173.6193
624	242178.6283
625	240093.7849
626	239110.1528
627	238133.3209
628	236480.4403
629	235514.4811
630	233792.7008
631	232837.899
632	231889.8469
633	230285.1895
634	229347.5774
635	227371.1869
636	226444.293
637	225523.8639
638	224540.8495
639	222604.6849
640	221699.5726
641	220734.8565
642	218833.1338
643	217943.9272
644	216996.5815
645	215498.9215
646	214625.0168
647	213149.785
648	212285.5047
649	210739.9081
650	209885.698
651	209037.603
652	207235.4838
653	206397.1115
654	204622.2853
655	203793.5155
656	202909.8118
657	202091.2979
658	200352.495
659	199485.1885
660	198680.5155
661	197824.0615
662	196374.5869
663	195584.1561
664	194799.1955
665	194019.2167
666	192343.7646
667	191572.753
668	190750.7001
669	189442.3923
670	188150.221
671	187396.4077
672	185781.8347
673	185036.6623
674	184295.9441
675	183043.982
676	182260.4739
677	180691.7004
678	179967.4892
679	179198.2395
680	178434.4471
681	176898.4899
682	176190.8674
683	175440.8217
684	174742.0108
685	173237.1927
686	172546.4485
687	171292.5805
688	170610.169
689	169932.3459
690	169258.6727
691	167799.9043
692	167133.9773
693	166472.2137
694	165814.487
695	164609.7392
696	163959.9172
697	163314.6461
698	162211.1111
699	161121.323
700	160486.3522
701	159101.4795
702	158473.5319
703	157109.6977
704	156489.0307
705	155872.1642
706	155259.4365
707	153922.43
708	153316.536
709	152714.532
710	152116.3409
711	150805.6403
712	150214.1523
713	148923.4199
714	148338.7048
715	147757.5683
